Source : https://data.sncf.com
Thème : Régularité des TGV
Périodicité : mensuelle
Début : 2012
Fin : 2015


La régularité est calculée lors de l’arrivée du train à la dernière gare de son parcours (terminus). Ce mode de calcul, qui n’intègre pas les gares intermédiaires, propose le retard cumulé sur l’ensemble d’un trajet.
L’indicateur utilisé est celui de la « régularité composite » : un train est considéré en retard s’il arrive cinq minutes après son heure prévue pour un trajet de moins de 1h30, dix minutes pour un trajet de 1h30 à 3h,
et quinze minutes pour un trajet de plus de 3h.Un train supprimé avant 16h la veille de sa circulation ne sera pas comptabilisé. En revanche, si l’annonce de sa suppression n’a pu être faite la veille avant 16h, 
le train sera bien comptabilisé comme un train supprimé, que cette suppression soit totale ou partielle (le train a effectué qu’une partie de son parcours).

  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 | Année| Mois | Id Trajet | Id Gare de départ| Gare de départ                      | Id Gare d'arrivée| Gare d'arrivée                      | Nombre de TGV programmés | Nombre de TGV annulés | Nombre de TGV en retard|
  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
*| 2012 | 1    | 001       | 001              | AIX EN PROVENCE TGV                 | 032              | PARIS LYON                          | 419                      | 0                     | 32                     |
*| 2012 | 1    | 012       | 012              | DIJON VILLE                         | 032              | PARIS LYON                          | 470                      | 0                     | 37                     |
*| 2012 | 1    | 082       | 034              | PARIS NORD                          | 013              | DOUAI                               | 212                      | 0                     | 20                     |
*| 2012 | 1    | 052       | 032              | PARIS LYON                          | 015              | GRENOBLE                            | 257                      | 0                     | 20                     |
*| 2012 | 1    | 016       | 016              | LA ROCHELLE VILLE                   | 033              | PARIS MONTPARNASSE                  | 226                      | 0                     | 24                     |
*| 2012 | 1    | 071       | 033              | PARIS MONTPARNASSE                  | 019              | LE MANS                             | 455                      | 0                     | 40                     |
*| 2012 | 1    | 029       | 023              | MARSEILLE ST CHARLES                | 020              | LILLE                               | 128                      | 0                     | 26                     |
*| 2012 | 1    | 084       | 034              | PARIS NORD                          | 020              | LILLE                               | 645                      | 0                     | 56                     |
*| 2012 | 1    | 030       | 023              | MARSEILLE ST CHARLES                | 021              | LYON PART DIEU                      | 597                      | 0                     | 79                     |
*| 2012 | 1    | 025       | 021              | LYON PART DIEU                      | 025              | MONTPELLIER                         | 375                      | 0                     | 66                     |
*| 2012 | 1    | 033       | 025              | MONTPELLIER                         | 021              | LYON PART DIEU                      | 369                      | 0                     | 59                     |
*| 2012 | 1    | 054       | 032              | PARIS LYON                          | 021              | LYON PART DIEU                      | 631                      | 0                     | 23                     |
*| 2012 | 1    | 055       | 032              | PARIS LYON                          | 022              | MACON LOCHE                         | 193                      | 0                     | 12                     |
*| 2012 | 1    | 003       | 003              | ANGOULEME                           | 033              | PARIS MONTPARNASSE                  | 353                      | 0                     | 52                     |
*| 2012 | 1    | 034       | 025              | MONTPELLIER                         | 032              | PARIS LYON                          | 372                      | 0                     | 26                     |
*| 2012 | 1    | 058       | 032              | PARIS LYON                          | 026              | MULHOUSE VILLE                      | 315                      | 0                     | 15                     |
*| 2012 | 1    | 087       | 037              | QUIMPER                             | 033              | PARIS MONTPARNASSE                  | 151                      | 0                     | 10                     |
*| 2012 | 1    | 004       | 004              | ANNECY                              | 032              | PARIS LYON                          | 207                      | 0                     | 8                      |
*| 2012 | 1    | 075       | 033              | PARIS MONTPARNASSE                  | 039              | RENNES                              | 569                      | 0                     | 32                     |
*| 2012 | 1    | 077       | 033              | PARIS MONTPARNASSE                  | 042              | ST PIERRE DES CORPS                 | 471                      | 0                     | 44                     |
*| 2012 | 1    | 044       | 031              | PARIS EST                           | 043              | STRASBOURG                          | 480                      | 0                     | 33                     |
*| 2012 | 1    | 063       | 032              | PARIS LYON                          | 044              | TOULON                              | 214                      | 0                     | 19                     |
